
NormalizedLandmark(x=0.7326174974441528, y=0.805232048034668, z=-0.09490785747766495, visibility=0.916397750377655, presence=0.8706908822059631)
NormalizedLandmark(x=0.7258959412574768, y=0.8224663734436035, z=-0.12239623814821243, visibility=0.8603988885879517, presence=0.7773178815841675)
NormalizedLandmark(x=0.7202654480934143, y=0.8326935768127441, z=-0.11868613213300705, visibility=0.7838197350502014, presence=0.588992178440094)
NormalizedLandmark(x=0.6573231816291809, y=0.8950993418693542, z=-0.1545165479183197, visibility=0.6333332657814026, presence=0.5232266783714294)
NormalizedLandmark(x=0.6501230001449585, y=0.892196774482727, z=-0.09379756450653076, visibility=0.6536375880241394, presence=0.6529844403266907)
NormalizedLandmark(x=0.6460466384887695, y=0.8828785419464111, z=-0.10954020172357559, visibility=0.6512795090675354, presence=0.6217896938323975)
NormalizedLandmark(x=0.6506308913230896, y=0.8554531931877136, z=-0.052600566297769547, visibility=0.5254026055335999, presence=0.5915363430976868)
NormalizedLandmark(x=0.6592428684234619, y=0.8856713771820068, z=-0.1381250023841858, visibility=0.5987860560417175, presence=0.6248716115951538)
NormalizedLandmark(x=0.6597859859466553, y=0.8795634508132935, z=-0.18624915182590485, visibility=0.6676173806190491, presence=0.6077209711074829)
NormalizedLandmark(x=0.6734466552734375, y=0.8866028785705566, z=-0.13115189969539642, visibility=0.8122849464416504, presence=0.874204158782959)
NormalizedLandmark(x=0.6754593849182129, y=0.8590195178985596, z=-0.16718921065330505, visibility=0.8774178624153137, presence=0.9118601083755493)
NormalizedLandmark(x=0.7151520252227783, y=0.8614323139190674, z=-0.21785800158977509, visibility=0.987141489982605, presence=0.9798113703727722)
NormalizedLandmark(x=0.7498737573623657, y=0.7597488760948181, z=-0.3489050269126892, visibility=0.9881054162979126, presence=0.9718058705329895)
NormalizedLandmark(x=0.7417809367179871, y=0.7011680006980896, z=-0.24697966873645782, visibility=0.9892318844795227, presence=0.9812021255493164)
NormalizedLandmark(x=0.733160674571991, y=0.6701902151107788, z=-0.2703295350074768, visibility=0.985630452632904, presence=0.9702110886573792)
NormalizedLandmark(x=0.7258356809616089, y=0.6677873730659485, z=-0.24649813771247864, visibility=0.9768463969230652, presence=0.9671433568000793)
NormalizedLandmark(x=0.7269071340560913, y=0.6643558740615845, z=-0.21060903370380402, visibility=0.963968813419342, presence=0.9588282108306885)
NormalizedLandmark(x=0.726151168346405, y=0.6671268939971924, z=-0.1532033085823059, visibility=0.9627807140350342, presence=0.9569687247276306)
NormalizedLandmark(x=0.7246705293655396, y=0.6686384081840515, z=-0.26980769634246826, visibility=0.9841055274009705, presence=0.9713618159294128)
NormalizedLandmark(x=0.7336905598640442, y=0.663810133934021, z=-0.19169080257415771, visibility=0.9819318056106567, presence=0.9761858582496643)
NormalizedLandmark(x=0.7335531115531921, y=0.6652274131774902, z=-0.24690362811088562, visibility=0.9901021718978882, presence=0.9764524102210999)
NormalizedLandmark(x=0.7258431911468506, y=0.664556622505188, z=-0.21099258959293365, visibility=0.970539391040802, presence=0.9516836404800415)
NormalizedLandmark(x=0.7335837483406067, y=0.6652150750160217, z=-0.23813588917255402, visibility=0.9662895798683167, presence=0.923213005065918)
NormalizedLandmark(x=0.7356747984886169, y=0.6672335267066956, z=-0.1880946308374405, visibility=0.9821885228157043, presence=0.9736738204956055)
NormalizedLandmark(x=0.7233044505119324, y=0.6624018549919128, z=-0.15286627411842346, visibility=0.9596607685089111, presence=0.952018141746521)
NormalizedLandmark(x=0.7435985207557678, y=0.6864356398582458, z=-0.329997181892395, visibility=0.9873121976852417, presence=0.9779072999954224)
NormalizedLandmark(x=0.7296581268310547, y=0.6658417582511902, z=-0.24431873857975006, visibility=0.9847570061683655, presence=0.9655584692955017)
NormalizedLandmark(x=0.7305071949958801, y=0.6598821878433228, z=-0.22441139817237854, visibility=0.9828129410743713, presence=0.933586597442627)
NormalizedLandmark(x=0.7272720336914062, y=0.6719123125076294, z=-0.21305344998836517, visibility=0.9862400889396667, presence=0.9670060276985168)
NormalizedLandmark(x=0.7266800999641418, y=0.643969714641571, z=-0.3253403604030609, visibility=0.9830331206321716, presence=0.9619371891021729)
NormalizedLandmark(x=0.7351129055023193, y=0.6560274958610535, z=-0.20641912519931793, visibility=0.9836412668228149, presence=0.9694573879241943)
NormalizedLandmark(x=0.7276175618171692, y=0.6728473901748657, z=-0.24412693083286285, visibility=0.9705934524536133, presence=0.9561727643013)
NormalizedLandmark(x=0.7417475581169128, y=0.6700534224510193, z=-0.283597469329834, visibility=0.9896911978721619, presence=0.9760929346084595)
NormalizedLandmark(x=0.7312046885490417, y=0.6657332181930542, z=-0.25336122512817383, visibility=0.9832324385643005, presence=0.9584493041038513)
NormalizedLandmark(x=0.7288867831230164, y=0.6518502831459045, z=-0.2556766867637634, visibility=0.979193389415741, presence=0.9466698169708252)
NormalizedLandmark(x=0.728907585144043, y=0.6663381457328796, z=-0.16148701310157776, visibility=0.9622612595558167, presence=0.9305086731910706)
NormalizedLandmark(x=0.7318436503410339, y=0.6573948860168457, z=-0.2260262370109558, visibility=0.976115882396698, presence=0.9656817317008972)
NormalizedLandmark(x=0.7352539300918579, y=0.654485285282135, z=-0.197440966963768, visibility=0.9749419093132019, presence=0.9658274054527283)
NormalizedLandmark(x=0.7415682077407837, y=0.6566349267959595, z=-0.17906226217746735, visibility=0.9870009422302246, presence=0.9716936349868774)
NormalizedLandmark(x=0.7279385924339294, y=0.6434609293937683, z=-0.12724293768405914, visibility=0.9783908724784851, presence=0.9776889085769653)
NormalizedLandmark(x=0.727573812007904, y=0.6584452986717224, z=-0.09793837368488312, visibility=0.9690132141113281, presence=0.9773248434066772)
NormalizedLandmark(x=0.7000427842140198, y=0.6647861003875732, z=-0.01081101130694151, visibility=0.9854588508605957, presence=0.9949416518211365)
NormalizedLandmark(x=0.69049471616745, y=0.6662815809249878, z=0.08394181728363037, visibility=0.9789993762969971, presence=0.9958778619766235)
NormalizedLandmark(x=0.6746950745582581, y=0.6719677448272705, z=-0.11355604231357574, visibility=0.9801511764526367, presence=0.9934244155883789)
NormalizedLandmark(x=0.6555790901184082, y=0.7030847668647766, z=-0.19911698997020721, visibility=0.9776842594146729, presence=0.9931975603103638)
NormalizedLandmark(x=0.6557191610336304, y=0.7047067284584045, z=-0.23731859028339386, visibility=0.9960078001022339, presence=0.998102605342865)
NormalizedLandmark(x=0.6401623487472534, y=0.7183272242546082, z=-0.2775251865386963, visibility=0.9945371747016907, presence=0.9964922070503235)
NormalizedLandmark(x=0.637502908706665, y=0.7230892777442932, z=-0.2053285390138626, visibility=0.997292697429657, presence=0.9986526966094971)
NormalizedLandmark(x=0.6320290565490723, y=0.7270948886871338, z=-0.263856440782547, visibility=0.9873756170272827, presence=0.9914774298667908)
NormalizedLandmark(x=0.642501711845398, y=0.718044638633728, z=-0.30382096767425537, visibility=0.9977164268493652, presence=0.9985438585281372)
NormalizedLandmark(x=0.6356958150863647, y=0.7199890613555908, z=-0.24371933937072754, visibility=0.9985578656196594, presence=0.9993724226951599)
NormalizedLandmark(x=0.6304309964179993, y=0.7279172539710999, z=-0.2937527596950531, visibility=0.993375837802887, presence=0.995464026927948)
NormalizedLandmark(x=0.6314004063606262, y=0.7231379151344299, z=-0.21594129502773285, visibility=0.9985942244529724, presence=0.9994896650314331)
