
NormalizedLandmark(x=0.6567572951316833, y=0.6376626491546631, z=-0.2179805040359497, visibility=0.9993962049484253, presence=0.9911119341850281)
NormalizedLandmark(x=0.6502830982208252, y=0.6414746046066284, z=-0.22540587186813354, visibility=0.9992473125457764, presence=0.989582896232605)
NormalizedLandmark(x=0.6506052017211914, y=0.6388089656829834, z=-0.25260812044143677, visibility=0.9985576272010803, presence=0.9827352166175842)
NormalizedLandmark(x=0.6171250939369202, y=0.6547616124153137, z=-0.260321706533432, visibility=0.9980473518371582, presence=0.9894318580627441)
NormalizedLandmark(x=0.605638861656189, y=0.6552414894104004, z=-0.18086473643779755, visibility=0.9964582324028015, presence=0.9669824838638306)
NormalizedLandmark(x=0.6071851253509521, y=0.6561528444290161, z=-0.1881498396396637, visibility=0.9972885847091675, presence=0.9779798984527588)
NormalizedLandmark(x=0.6145467758178711, y=0.6442184448242188, z=-0.16865038871765137, visibility=0.9954381585121155, presence=0.9594300985336304)
NormalizedLandmark(x=0.613312304019928, y=0.6473596692085266, z=-0.21418817341327667, visibility=0.9973213076591492, presence=0.9844927787780762)
NormalizedLandmark(x=0.6200615763664246, y=0.648857057094574, z=-0.2616753578186035, visibility=0.9976255297660828, presence=0.9864991903305054)
NormalizedLandmark(x=0.6210355162620544, y=0.6576273441314697, z=-0.1843084841966629, visibility=0.9983285069465637, presence=0.9898509979248047)
NormalizedLandmark(x=0.6259384751319885, y=0.6515709757804871, z=-0.21893680095672607, visibility=0.9989503026008606, presence=0.9956660270690918)
NormalizedLandmark(x=0.6318341493606567, y=0.6651639938354492, z=-0.25651198625564575, visibility=0.9998102784156799, presence=0.9996129870414734)
NormalizedLandmark(x=0.6261717677116394, y=0.6566541194915771, z=-0.3425191342830658, visibility=0.9986348748207092, presence=0.9977889060974121)
NormalizedLandmark(x=0.6199644804000854, y=0.6524654030799866, z=-0.2432457059621811, visibility=0.9993622899055481, presence=0.9989621639251709)
NormalizedLandmark(x=0.6110590100288391, y=0.6543700098991394, z=-0.2538195252418518, visibility=0.9994785189628601, presence=0.9989149570465088)
NormalizedLandmark(x=0.6090014576911926, y=0.6621309518814087, z=-0.2451145201921463, visibility=0.9988407492637634, presence=0.9973352551460266)
NormalizedLandmark(x=0.6098446249961853, y=0.6597426533699036, z=-0.20516490936279297, visibility=0.999046266078949, presence=0.9973850846290588)
NormalizedLandmark(x=0.6056269407272339, y=0.6641846299171448, z=-0.14240753650665283, visibility=0.99903404712677, presence=0.9971490502357483)
NormalizedLandmark(x=0.6105359196662903, y=0.6563358902931213, z=-0.23657743632793427, visibility=0.9993112087249756, presence=0.9982584118843079)
