
NormalizedLandmark(x=0.7403383255004883, y=0.9917426109313965, z=-0.25147679448127747, visibility=0.4038623571395874, presence=0.11758922040462494)
NormalizedLandmark(x=0.7305153608322144, y=1.0160884857177734, z=-0.30525609850883484, visibility=0.22898131608963013, presence=0.057538848370313644)
NormalizedLandmark(x=0.7369387745857239, y=1.0207254886627197, z=-0.25350379943847656, visibility=0.22051076591014862, presence=0.03296739608049393)
NormalizedLandmark(x=0.7040221095085144, y=1.0928659439086914, z=-0.29721254110336304, visibility=0.11712402105331421, presence=0.02514524944126606)
NormalizedLandmark(x=0.6841427683830261, y=1.0560120344161987, z=-0.3177832365036011, visibility=0.24315087497234344, presence=0.07082288712263107)
NormalizedLandmark(x=0.6801711916923523, y=1.0634816884994507, z=-0.3408491611480713, visibility=0.20292162895202637, presence=0.05922030285000801)
NormalizedLandmark(x=0.6758835911750793, y=1.0229846239089966, z=-0.24078449606895447, visibility=0.11538289487361908, presence=0.0454447865486145)
NormalizedLandmark(x=0.7054230570793152, y=1.0678986310958862, z=-0.352105975151062, visibility=0.18812645971775055, presence=0.07025065273046494)
NormalizedLandmark(x=0.7121447920799255, y=1.0907504558563232, z=-0.37565305829048157, visibility=0.2170228660106659, presence=0.055996958166360855)
NormalizedLandmark(x=0.7227556705474854, y=1.0719809532165527, z=-0.3806726634502411, visibility=0.44851094484329224, presence=0.20882506668567657)
NormalizedLandmark(x=0.7638554573059082, y=1.0403711795806885, z=-0.37898609042167664, visibility=0.5492514967918396, presence=0.23417864739894867)
NormalizedLandmark(x=0.8454415202140808, y=0.9764836430549622, z=-0.4209659695625305, visibility=0.9278719425201416, presence=0.6265084743499756)
NormalizedLandmark(x=0.893371045589447, y=0.780765950679779, z=-0.5467116832733154, visibility=0.9617964625358582, presence=0.6870076656341553)
NormalizedLandmark(x=0.8748531341552734, y=0.6760565042495728, z=-0.475798100233078, visibility=0.9821797013282776, presence=0.8961548209190369)
NormalizedLandmark(x=0.8620421886444092, y=0.6461266875267029, z=-0.4981602430343628, visibility=0.9812691807746887, presence=0.838381826877594)
NormalizedLandmark(x=0.8620469570159912, y=0.6349242925643921, z=-0.4545791447162628, visibility=0.9612163305282593, presence=0.7850485444068909)
NormalizedLandmark(x=0.86097252368927, y=0.6461742520332336, z=-0.4425671696662903, visibility=0.94327712059021, presence=0.6995404362678528)
NormalizedLandmark(x=0.8566057085990906, y=0.62807697057724, z=-0.4110047519207001, visibility=0.9509974718093872, presence=0.7268348336219788)
NormalizedLandmark(x=0.8529644012451172, y=0.6277784705162048, z=-0.5151464343070984, visibility=0.9761002063751221, presence=0.8492923974990845)
NormalizedLandmark(x=0.8567057847976685, y=0.6275084018707275, z=-0.4327649772167206, visibility=0.977581262588501, presence=0.8699327707290649)
NormalizedLandmark(x=0.8627361059188843, y=0.6135481595993042, z=-0.4492993950843811, visibility=0.9864428043365479, presence=0.8993372917175293)
NormalizedLandmark(x=0.8557543754577637, y=0.6124424934387207, z=-0.4205996096134186, visibility=0.9490410685539246, presence=0.7346041798591614)
NormalizedLandmark(x=0.8585855960845947, y=0.6187319755554199, z=-0.45045745372772217, visibility=0.9567152261734009, presence=0.6807299256324768)
NormalizedLandmark(x=0.8610291481018066, y=0.6271744966506958, z=-0.4152481257915497, visibility=0.9739828109741211, presence=0.861714780330658)
NormalizedLandmark(x=0.8570733070373535, y=0.6283207535743713, z=-0.37116461992263794, visibility=0.9631038904190063, presence=0.8232019543647766)
NormalizedLandmark(x=0.8614436388015747, y=0.632512629032135, z=-0.540704607963562, visibility=0.9820745587348938, presence=0.8764051198959351)
NormalizedLandmark(x=0.8566372394561768, y=0.6277760863304138, z=-0.47481799125671387, visibility=0.978297233581543, presence=0.8374423384666443)
NormalizedLandmark(x=0.8599307537078857, y=0.6172570586204529, z=-0.4649888575077057, visibility=0.963395357131958, presence=0.6437254548072815)
NormalizedLandmark(x=0.852586030960083, y=0.6345385909080505, z=-0.5000759363174438, visibility=0.9783161282539368, presence=0.8216243386268616)
NormalizedLandmark(x=0.856183648109436, y=0.6149175763130188, z=-0.5419687628746033, visibility=0.9764907360076904, presence=0.7986786365509033)
NormalizedLandmark(x=0.8615647554397583, y=0.606147050857544, z=-0.4549572169780731, visibility=0.9748677015304565, presence=0.8282755017280579)
NormalizedLandmark(x=0.8531756401062012, y=0.6211262941360474, z=-0.4733072519302368, visibility=0.9577890634536743, presence=0.7569891214370728)
NormalizedLandmark(x=0.8625718355178833, y=0.616807222366333, z=-0.5183460712432861, visibility=0.9837836623191833, presence=0.8723854422569275)
NormalizedLandmark(x=0.8547965884208679, y=0.6278722286224365, z=-0.476063072681427, visibility=0.974561333656311, presence=0.8015794157981873)
NormalizedLandmark(x=0.8614251017570496, y=0.612544059753418, z=-0.4543500542640686, visibility=0.9602532386779785, presence=0.6866989135742188)
NormalizedLandmark(x=0.8549201488494873, y=0.6319870352745056, z=-0.4162604808807373, visibility=0.9461063146591187, presence=0.6355164647102356)
NormalizedLandmark(x=0.8641393184661865, y=0.6228501200675964, z=-0.416607528924942, visibility=0.9624906182289124, presence=0.7874630689620972)
NormalizedLandmark(x=0.8626764416694641, y=0.6039308309555054, z=-0.41559723019599915, visibility=0.9725057482719421, presence=0.8328694105148315)
NormalizedLandmark(x=0.8611345291137695, y=0.5933725237846375, z=-0.41142356395721436, visibility=0.9781062602996826, presence=0.8327643275260925)
NormalizedLandmark(x=0.8603331446647644, y=0.5780665874481201, z=-0.33914560079574585, visibility=0.9856013655662537, presence=0.905236542224884)
