
NormalizedLandmark(x=0.4038800597190857, y=0.8162118196487427, z=-0.19905920326709747, visibility=0.9663130640983582, presence=0.8842893838882446)
NormalizedLandmark(x=0.40213629603385925, y=0.8334053754806519, z=-0.24715887010097504, visibility=0.9673978090286255, presence=0.8472880721092224)
NormalizedLandmark(x=0.4077887237071991, y=0.8453401923179626, z=-0.2445000261068344, visibility=0.9194599986076355, presence=0.6858757138252258)
NormalizedLandmark(x=0.3800623118877411, y=0.8646472096443176, z=-0.2610132694244385, visibility=0.9015607237815857, presence=0.6024413704872131)
NormalizedLandmark(x=0.36830705404281616, y=0.8682012557983398, z=-0.21146024763584137, visibility=0.9089679718017578, presence=0.8049089312553406)
NormalizedLandmark(x=0.37225085496902466, y=0.8723746538162231, z=-0.25463157892227173, visibility=0.9241708517074585, presence=0.7960343360900879)
NormalizedLandmark(x=0.3875265419483185, y=0.8587139248847961, z=-0.24011926352977753, visibility=0.8848243355751038, presence=0.7555245757102966)
NormalizedLandmark(x=0.3860865831375122, y=0.8601581454277039, z=-0.30808907747268677, visibility=0.9220750331878662, presence=0.7522554993629456)
NormalizedLandmark(x=0.3832685649394989, y=0.8791317939758301, z=-0.3110702335834503, visibility=0.9069938063621521, presence=0.7170400023460388)
NormalizedLandmark(x=0.38142910599708557, y=0.8466489315032959, z=-0.25917255878448486, visibility=0.953413724899292, presence=0.9415802359580994)
NormalizedLandmark(x=0.3712456524372101, y=0.8127480149269104, z=-0.24613119661808014, visibility=0.9725872874259949, presence=0.9720573425292969)
NormalizedLandmark(x=0.33559364080429077, y=0.7867269515991211, z=-0.295103520154953, visibility=0.995625376701355, presence=0.9928818941116333)
NormalizedLandmark(x=0.2936512529850006, y=0.6856955289840698, z=-0.5004763007164001, visibility=0.9978887438774109, presence=0.9875422120094299)
NormalizedLandmark(x=0.3025905191898346, y=0.6695714592933655, z=-0.3697948157787323, visibility=0.9980466365814209, presence=0.9932628273963928)
NormalizedLandmark(x=0.30490025877952576, y=0.6686316728591919, z=-0.3311523497104645, visibility=0.9962704181671143, presence=0.9879747629165649)
NormalizedLandmark(x=0.29567471146583557, y=0.6613638401031494, z=-0.3743281960487366, visibility=0.9959438443183899, presence=0.9872072339057922)
NormalizedLandmark(x=0.2996329963207245, y=0.6610341668128967, z=-0.32566919922828674, visibility=0.9936151504516602, presence=0.9855395555496216)
NormalizedLandmark(x=0.29619887471199036, y=0.6602111458778381, z=-0.2537335455417633, visibility=0.9928818941116333, presence=0.9845511317253113)
