
NormalizedLandmark(x=0.4859437048435211, y=0.6516351103782654, z=-0.27277040481567383, visibility=0.9996641874313354, presence=0.9963573813438416)
NormalizedLandmark(x=0.4766559898853302, y=0.653026282787323, z=-0.30746904015541077, visibility=0.9996547698974609, presence=0.9967492818832397)
NormalizedLandmark(x=0.4737507700920105, y=0.6486998200416565, z=-0.3121168613433838, visibility=0.999305248260498, presence=0.9948427081108093)
NormalizedLandmark(x=0.43823176622390747, y=0.6421779990196228, z=-0.325039267539978, visibility=0.9991133809089661, presence=0.9951280355453491)
NormalizedLandmark(x=0.43235498666763306, y=0.6445721983909607, z=-0.26372215151786804, visibility=0.9980342984199524, presence=0.9882700443267822)
NormalizedLandmark(x=0.43706172704696655, y=0.642561137676239, z=-0.29802635312080383, visibility=0.9987916350364685, presence=0.9938424825668335)
NormalizedLandmark(x=0.4429076313972473, y=0.6359208226203918, z=-0.29850080609321594, visibility=0.9979427456855774, presence=0.9895402789115906)
NormalizedLandmark(x=0.4468056559562683, y=0.6388141512870789, z=-0.34535351395606995, visibility=0.9990424513816833, presence=0.9960458874702454)
NormalizedLandmark(x=0.4479502737522125, y=0.6459474563598633, z=-0.35036271810531616, visibility=0.9987862706184387, presence=0.9951369166374207)
NormalizedLandmark(x=0.4536625146865845, y=0.6541155576705933, z=-0.2684888243675232, visibility=0.9991949200630188, presence=0.9963914752006531)
NormalizedLandmark(x=0.46101900935173035, y=0.6517436504364014, z=-0.2622585594654083, visibility=0.9994348883628845, presence=0.9983239769935608)
NormalizedLandmark(x=0.4577692747116089, y=0.6552310585975647, z=-0.28987157344818115, visibility=0.9999128580093384, presence=0.9998353719711304)
NormalizedLandmark(x=0.44490665197372437, y=0.6406957507133484, z=-0.4385710060596466, visibility=0.9993507266044617, presence=0.9988717436790466)
NormalizedLandmark(x=0.44419726729393005, y=0.6402135491371155, z=-0.34054458141326904, visibility=0.9996485710144043, presence=0.999524712562561)
NormalizedLandmark(x=0.4364995062351227, y=0.6420295238494873, z=-0.30876490473747253, visibility=0.9996989965438843, presence=0.9994602799415588)
NormalizedLandmark(x=0.43603119254112244, y=0.6500762104988098, z=-0.342661052942276, visibility=0.9993231296539307, presence=0.998711109161377)
NormalizedLandmark(x=0.43272778391838074, y=0.6510857343673706, z=-0.30260661244392395, visibility=0.9994199275970459, presence=0.998818576335907)
NormalizedLandmark(x=0.43302303552627563, y=0.6542503833770752, z=-0.23356743156909943, visibility=0.9994445443153381, presence=0.9988248944282532)
NormalizedLandmark(x=0.4309649169445038, y=0.6516802310943604, z=-0.2959825396537781, visibility=0.99950110912323, presence=0.9990350008010864)
NormalizedLandmark(x=0.43475693464279175, y=0.6532042026519775, z=-0.2608010768890381, visibility=0.9996510744094849, presence=0.9994218349456787)
NormalizedLandmark(x=0.43381157517433167, y=0.6485903263092041, z=-0.32412484288215637, visibility=0.9995114803314209, presence=0.999079704284668)
NormalizedLandmark(x=0.43534088134765625, y=0.6569522023200989, z=-0.3152114152908325, visibility=0.9993681311607361, presence=0.9986144304275513)
NormalizedLandmark(x=0.43453142046928406, y=0.6574564576148987, z=-0.3306954801082611, visibility=0.9991866946220398, presence=0.9981032609939575)
NormalizedLandmark(x=0.43669742345809937, y=0.6475141048431396, z=-0.2734597623348236, visibility=0.9996123909950256, presence=0.9993165731430054)
NormalizedLandmark(x=0.4323245584964752, y=0.652244508266449, z=-0.29573217034339905, visibility=0.9994076490402222, presence=0.9986091256141663)
NormalizedLandmark(x=0.433815062046051, y=0.6523119211196899, z=-0.3628995418548584, visibility=0.9994206428527832, presence=0.9988535642623901)
NormalizedLandmark(x=0.43727925419807434, y=0.6501398086547852, z=-0.2746947705745697, visibility=0.9996441602706909, presence=0.9993783235549927)
NormalizedLandmark(x=0.436635822057724, y=0.6555764079093933, z=-0.20609696209430695, visibility=0.999538779258728, presence=0.9990542531013489)
NormalizedLandmark(x=0.4365822672843933, y=0.6460734009742737, z=-0.17834103107452393, visibility=0.9996527433395386, presence=0.9993657469749451)
NormalizedLandmark(x=0.4380738437175751, y=0.6578550338745117, z=-0.33658522367477417, visibility=0.999281108379364, presence=0.998522937297821)
NormalizedLandmark(x=0.4348393976688385, y=0.6545982360839844, z=-0.22959978878498077, visibility=0.9995392560958862, presence=0.9990851879119873)
NormalizedLandmark(x=0.4362219274044037, y=0.6562150120735168, z=-0.32454803586006165, visibility=0.9992958307266235, presence=0.9984257221221924)
NormalizedLandmark(x=0.43745777010917664, y=0.6467271447181702, z=-0.30000850558280945, visibility=0.9996182918548584, presence=0.9993863105773926)
NormalizedLandmark(x=0.4365888833999634, y=0.6551469564437866, z=-0.3289385437965393, visibility=0.9994912147521973, presence=0.9991117119789124)
NormalizedLandmark(x=0.4359351694583893, y=0.6551857590675354, z=-0.36216703057289124, visibility=0.9989020824432373, presence=0.9975093603134155)
NormalizedLandmark(x=0.4351108968257904, y=0.6531593799591064, z=-0.23236510157585144, visibility=0.9996895790100098, presence=0.9994103908538818)
NormalizedLandmark(x=0.4344758689403534, y=0.6531269550323486, z=-0.3741019666194916, visibility=0.9990835189819336, presence=0.997799813747406)
NormalizedLandmark(x=0.4362740218639374, y=0.6590904593467712, z=-0.2742973566055298, visibility=0.9995567202568054, presence=0.9990068078041077)
NormalizedLandmark(x=0.44404929876327515, y=0.6558546423912048, z=-0.20697927474975586, visibility=0.9997934699058533, presence=0.9996059536933899)
NormalizedLandmark(x=0.4365115165710449, y=0.6548659205436707, z=-0.1664276123046875, visibility=0.9992284774780273, presence=0.997351884841919)
NormalizedLandmark(x=0.44432970881462097, y=0.6611378192901611, z=-0.14675478637218475, visibility=0.9985361099243164, presence=0.9949359893798828)
NormalizedLandmark(x=0.4505303204059601, y=0.6646454334259033, z=-0.05707499757409096, visibility=0.9990755319595337, presence=0.9978989362716675)
NormalizedLandmark(x=0.45672547817230225, y=0.6628673672676086, z=-0.028964854776859283, visibility=0.9994263648986816, presence=0.9985163807868958)
NormalizedLandmark(x=0.4556671380996704, y=0.657679557800293, z=-0.008603882044553757, visibility=0.9987261891365051, presence=0.9956372380256653)
NormalizedLandmark(x=0.4518086910247803, y=0.6429697871208191, z=-0.027035020291805267, visibility=0.9992321729660034, presence=0.9980583786964417)
NormalizedLandmark(x=0.4569428861141205, y=0.6260243058204651, z=-0.051137495785951614, visibility=0.999803364276886, presence=0.9995679259300232)
NormalizedLandmark(x=0.45499303936958313, y=0.6231999397277832, z=-0.06646271049976349, visibility=0.9995971322059631, presence=0.9989230036735535)
NormalizedLandmark(x=0.45591068267822266, y=0.624539852142334, z=-0.041177596896886826, visibility=0.9998533725738525, presence=0.9997524619102478)
