
NormalizedLandmark(x=0.40694841742515564, y=1.0271234512329102, z=-0.34692099690437317, visibility=0.6353622674942017, presence=0.2303437739610672)
NormalizedLandmark(x=0.39011749625205994, y=1.049876093864441, z=-0.39460641145706177, visibility=0.5580010414123535, presence=0.12685848772525787)
NormalizedLandmark(x=0.36005231738090515, y=1.0360535383224487, z=-0.3736434578895569, visibility=0.3963741362094879, presence=0.0575832761824131)
NormalizedLandmark(x=0.32207781076431274, y=1.0515754222869873, z=-0.3711669147014618, visibility=0.27222222089767456, presence=0.02744305320084095)
NormalizedLandmark(x=0.30442991852760315, y=1.0580004453659058, z=-0.385164737701416, visibility=0.5224120616912842, presence=0.12315681576728821)
NormalizedLandmark(x=0.29702723026275635, y=1.0698152780532837, z=-0.4223893880844116, visibility=0.454338401556015, presence=0.08297332376241684)
NormalizedLandmark(x=0.3321114778518677, y=1.040855050086975, z=-0.3692947030067444, visibility=0.3549353778362274, presence=0.08049560338258743)
NormalizedLandmark(x=0.3297211825847626, y=1.0511444807052612, z=-0.44207102060317993, visibility=0.2983211278915405, presence=0.04702039808034897)
NormalizedLandmark(x=0.3204555809497833, y=1.0541565418243408, z=-0.4374009072780609, visibility=0.28574925661087036, presence=0.038452666252851486)
NormalizedLandmark(x=0.2925281226634979, y=1.0104329586029053, z=-0.4791632294654846, visibility=0.7396002411842346, presence=0.3166171908378601)
NormalizedLandmark(x=0.25493234395980835, y=0.9595243334770203, z=-0.4450157582759857, visibility=0.8258038759231567, presence=0.45504751801490784)
NormalizedLandmark(x=0.20589180290699005, y=0.8500422835350037, z=-0.5048891305923462, visibility=0.9747557044029236, presence=0.8092635869979858)
NormalizedLandmark(x=0.14416880905628204, y=0.6456015110015869, z=-0.6443460583686829, visibility=0.989231288433075, presence=0.7270607948303223)
NormalizedLandmark(x=0.16490019857883453, y=0.5968061089515686, z=-0.5250918865203857, visibility=0.9957386255264282, presence=0.9322080016136169)
NormalizedLandmark(x=0.17398516833782196, y=0.6064469218254089, z=-0.49488821625709534, visibility=0.9956552982330322, presence=0.9094060659408569)
NormalizedLandmark(x=0.16176244616508484, y=0.5972732901573181, z=-0.5110041499137878, visibility=0.9920480847358704, presence=0.862972617149353)
NormalizedLandmark(x=0.16706423461437225, y=0.6058778166770935, z=-0.47800305485725403, visibility=0.9898722171783447, presence=0.8398615121841431)
NormalizedLandmark(x=0.16394701600074768, y=0.5959954261779785, z=-0.4344525635242462, visibility=0.9907436966896057, presence=0.8561587333679199)
